model_name,alpha,val_mae,val_mse
ridge_alpha_30.0,30.0,3.017240047454834,486.30841064453125
ridge_alpha_10.0,10.0,3.017308235168457,486.3056335449219
ridge_alpha_3.0,3.0,3.0173330307006836,486.3046875
ridge_alpha_1.0,1.0,3.0173399448394775,486.30438232421875
ridge_alpha_0.1,0.1,3.017343521118164,486.3042907714844
ridge_alpha_0.01,0.01,3.017343759536743,486.30426025390625
