model_name,alpha,val_mae,val_mse
ridge_alpha_30.0,30.0,3.007092237472534,487.3450012207031
ridge_alpha_10.0,10.0,3.0070960521698,487.3448486328125
ridge_alpha_3.0,3.0,3.0070972442626953,487.34478759765625
ridge_alpha_0.01,0.01,3.0070977210998535,487.34478759765625
ridge_alpha_1.0,1.0,3.0070977210998535,487.34478759765625
ridge_alpha_0.1,0.1,3.0070977210998535,487.34478759765625
